,,,,"//==================================
// File: C002.DAT
//==================================",,,
string,C002.DAT-ss0-0,"#P(""soundLen"", ""7.48093"")",,,,,
string,C002.DAT-ss0-1,"#P(""soundLen"", ""0.41403"")",,,,,
string,C002.DAT-ss0-2,"#P(""soundLen"", ""0.203637"")",,,,,
,,,,"//==================================
// File: C004.DAT
//==================================",,,
string,C004.DAT-ss0-0,"#P(""soundLen"", ""1.19135"")",,,,,
string,C004.DAT-ss0-1,"#P(""soundLen"", ""2.48688"")",,,,,
,,,,"//==================================
// File: C005.DAT
//==================================",,,
string,C005.DAT-ss0-0,"#P(""soundLen"", ""2.48688"")",,,,,
,,,,"//==================================
// File: C006A.DAT
//==================================",,,
string,C006A.DAT-ss0-0,"#P(""soundLen"", ""2.48688"")",,,,,
string,C006A.DAT-ss0-1,"#P(""soundLen"", ""1.37158"")",,,,,
,,,,"//==================================
// File: C006B.DAT
//==================================",,,
string,C006B.DAT-ss0-0,"#P(""soundLen"", ""5.74974"")",ママ,"弓美！起きなさい！学校送れるわよ！
こら、弓美","Yumimi! Get up!

#w(2.570)
You're going to be late for school!
//#woff(3.967)

#w(4.597)
C'mon, Yumimi!",,
string,C006B.DAT-ss0-1,"#P(""soundLen"", ""2.98544"")",弓美,は〜い,"Okaaaaaay...
#woff(2.000)",,
,,,,"//==================================
// File: C007.DAT
//==================================",,,
string,C007.DAT-ss0-0,"#P(""soundLen"", ""4.0801"")",弓美,"いったったったったった…
ああ？",,,UNTRANSLATED
,,,,"//==================================
// File: C008A.DAT
//==================================",,,
string,C008A.DAT-ss0-0,"#P(""soundLen"", ""7.83218"")",弓美,"なんか、変な夢を見ていたような気がするな…
んん…なんだっけ","I kinda feel like I was having a weird dream...

#w(5.334)
Hmm...What was it?",,
string,C008A.DAT-ss0-1,"#P(""soundLen"", ""1.42632"")",弓美,まあ、いっか,"Oh, whatever.",,
string,C008A.DAT-ss0-2,"#P(""soundLen"", ""1.57927"")",弓美,ふぁー,,,UNTRANSLATED
,,,,"//==================================
// File: C008B.DAT
//==================================",,,
string,C008B.DAT-ss0-0,"#P(""soundLen"", ""9.78801"")",弓美,"そうか…
寝相の悪いのは、ユニコーンが重なっていたの[は?]別問題だったのか…
そうか…
いいけど","Oh yeah...

#w(1.288)
My awful sleeping was a different problem from my being combined with a unicorn...
#woff(6.400)

#w(7.326)
Huh...

#w(9.283)
Oh well.","NOTE: from the good ending's epilogue. i.e. ""my bad sleeping posture isn't just because i got fused with a unicorn""",
,,,,"//==================================
// File: C021.DAT
//==================================",,,
string,C021.DAT-ss0-0,"#P(""soundLen"", ""10.9322"")",弓美,"ゆみみみっくす、いかがでした？
ゲームアーツでは、今後も楽しいゲームをどんどん作っていきますので、皆さん、期待しててね
じゃあ、またねぇ！","How was Yumimi Mix?

#w(2.773)
Game Arts is going to be cranking out fun games from now on,

#w(7.089)
so look forward to them, everybody!

#w(9.402)
Well, seeya!",,
,,,,"//==================================
// File: C080A.DAT
//==================================",,,
