loc_00015834: op02                          (0x0000)
loc_00015838: changeFgTilemapOrNop          ([ ])
loc_0001583a: changeFgTilemapOrNop          ([ ])
loc_0001583c: changeFgTilemapOrNop          ([ ])
loc_0001583e: changeFgTilemapOrNop          ([ ])
loc_00015840: changeFgTilemapOrNop          ([ ])
loc_00015842: changeFgTilemapOrNop          ([ ])
loc_00015844: changeFgTilemapOrNop          ([ ])
loc_00015846: changeFgTilemapOrNop          ([ ])
loc_00015848: changeFgTilemapOrNop          ([ ])
loc_0001584a: changeFgTilemapOrNop          ([ ])
loc_0001584c: changeFgTilemapOrNop          ([ ])
loc_0001584e: changeFgTilemapOrNop          ([ ])
loc_00015850: changeFgTilemapOrNop          ([ ])
loc_00015852: changeFgTilemapOrNop          ([ ])
loc_00015854: changeFgTilemapOrNop          ([ ])
loc_00015856: changeFgTilemapOrNop          ([ ])
loc_00015858: changeFgTilemapOrNop          ([ ])
loc_0001585a: changeFgTilemapOrNop          ([ ])
loc_0001585c: changeFgTilemapOrNop          ([ ])
loc_0001585e: changeFgTilemapOrNop          ([ ])
loc_00015860: changeFgTilemapOrNop          ([ ])
loc_00015862: changeFgTilemapOrNop          ([ ])
loc_00015864: changeFgTilemapOrNop          ([ ])
loc_00015866: changeFgTilemapOrNop          ([ ])
loc_00015868: changeFgTilemapOrNop          ([ ])
loc_0001586a: changeFgTilemapOrNop          ([ ])
loc_0001586c: changeFgTilemapOrNop          ([ ])
loc_0001586e: changeFgTilemapOrNop          ([ ])
loc_00015870: changeFgTilemapOrNop          ([ ])
loc_00015872: changeFgTilemapOrNop          ([ ])
loc_00015874: changeFgTilemapOrNop          ([ ])
loc_00015876: changeFgTilemapOrNop          ([ ])
loc_00015878: changeFgTilemapOrNop          ([ ])
loc_0001587a: changeFgTilemapOrNop          ([ ])
loc_0001587c: changeFgTilemapOrNop          ([ ])
loc_0001587e: changeFgTilemapOrNop          ([ ])
loc_00015880: changeFgTilemapOrNop          ([ ])
loc_00015882: changeFgTilemapOrNop          ([ ])
loc_00015884: changeFgTilemapOrNop          ([ ])
loc_00015886: changeFgTilemapOrNop          ([ ])
loc_00015888: changeFgTilemapOrNop          ([ ])
loc_0001588a: changeFgTilemapOrNop          ([ ])
loc_0001588c: changeFgTilemapOrNop          ([ ])
loc_0001588e: changeFgTilemapOrNop          ([ ])
loc_00015890: changeFgTilemapOrNop          ([ ])
loc_00015892: changeFgTilemapOrNop          ([ ])
loc_00015894: nop_17                        ()
loc_00015896: nop_17                        ()
loc_00015898: nop_17                        ()
loc_0001589a: nop_17                        ()
loc_0001589c: nop_17                        ()
loc_0001589e: nop_17                        ()
loc_000158a0: nop_17                        ()
loc_000158a2: nop_17                        ()
loc_000158a4: nop_17                        ()
loc_000158a6: nop_17                        ()
loc_000158a8: transferPatternData           ()
loc_000158aa: setScroll                     (0x0000 0x0000 [ ])
loc_000158b0: changeFgTilemap               ([ 0x00 ])
loc_000158b3: changeFgTilemap               ([ 0x01 ])
loc_000158b6: op01                          (0x00)
loc_000158b9: writeWord                     (0x00 0x0140)
loc_000158be: loadFgQuadrant                (0x00 0x00)
loc_000158c2: playSe??                      (0x00)
loc_000158c5: setScrollY?                   (0x0000 0x0000 [ ])
loc_000158cb: setLoopStart                  (0x04)
loc_000158ce: renderObjsHigh?               (< 0x00 > )
loc_000158d1: addWord                       (0x00 0xfffe)
loc_000158d6: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_000158de: draw                          (0x02)
loc_000158e1: triggerLoop                   ()
loc_000158e3: playPcm?                      (0x01)
loc_000158e6: setScrollY?                   (0x0140 0x0000 [ ])
loc_000158ec: setLoopStart                  (0x04)
loc_000158ef: renderObjsHigh?               (< 0x02 > )
loc_000158f2: addWord                       (0x00 0xfffe)
loc_000158f7: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_000158ff: draw                          (0x02)
loc_00015902: triggerLoop                   ()
loc_00015904: setScrollY?                   (0x0000 0x0000 [ ])
loc_0001590a: setLoopStart                  (0x04)
loc_0001590d: renderObjsHigh?               (< 0x00 > )
loc_00015910: addWord                       (0x00 0xfffe)
loc_00015915: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_0001591d: draw                          (0x02)
loc_00015920: triggerLoop                   ()
loc_00015922: setScrollY?                   (0x0140 0x0000 [ ])
loc_00015928: setLoopStart                  (0x04)
loc_0001592b: renderObjsHigh?               (< 0x02 > )
loc_0001592e: addWord                       (0x00 0xfffe)
loc_00015933: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_0001593b: draw                          (0x02)
loc_0001593e: triggerLoop                   ()
loc_00015940: setScrollY?                   (0x0000 0x0000 [ ])
loc_00015946: setLoopStart                  (0x04)
loc_00015949: renderObjsHigh?               (< 0x00 > )
loc_0001594c: addWord                       (0x00 0xfffe)
loc_00015951: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_00015959: draw                          (0x02)
loc_0001595c: triggerLoop                   ()
loc_0001595e: setScrollY?                   (0x0140 0x0000 [ ])
loc_00015964: setLoopStart                  (0x04)
loc_00015967: renderObjsHigh?               (< 0x00 > )
loc_0001596a: addWord                       (0x00 0xfffe)
loc_0001596f: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_00015977: draw                          (0x02)
loc_0001597a: triggerLoop                   ()
loc_0001597c: setScrollY?                   (0x0000 0x0000 [ ])
loc_00015982: setLoopStart                  (0x02)
loc_00015985: renderObjsHigh?               (< 0x00 > )
loc_00015988: addWord                       (0x00 0xfffe)
loc_0001598d: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_00015995: draw                          (0x02)
loc_00015998: triggerLoop                   ()
loc_0001599a: loadFgQuadrant                (0x00 0x01)
loc_0001599e: setLoopStart                  (0x02)
loc_000159a1: renderObjsHigh?               (< 0x00 > )
loc_000159a4: addWord                       (0x00 0xfffe)
loc_000159a9: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_000159b1: draw                          (0x02)
loc_000159b4: triggerLoop                   ()
loc_000159b6: setScrollY?                   (0x0140 0x0000 [ ])
loc_000159bc: setLoopStart                  (0x04)
loc_000159bf: renderObjsHigh?               (< 0x02 > )
loc_000159c2: addWord                       (0x00 0xfffe)
loc_000159c7: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_000159cf: draw                          (0x02)
loc_000159d2: triggerLoop                   ()
loc_000159d4: setScrollY?                   (0x0000 0x0000 [ ])
loc_000159da: setLoopStart                  (0x04)
loc_000159dd: renderObjsHigh?               (< 0x00 > )
loc_000159e0: addWord                       (0x00 0xfffe)
loc_000159e5: renderSpriteOverride?         (0x01 0x00 *0x00 0x0011)
loc_000159ed: draw                          (0x02)
loc_000159f0: triggerLoop                   ()
loc_000159f2: setScrollY?                   (0x0140 0x0000 [ ])
loc_000159f8: setLoopStart                  (0x04)
loc_000159fb: renderObjsHigh?               (< 0x02 > )
